Date,Actual,Predicted,Model
2024-09-19,0.1268722354447624,0.09646683931350708,XGBoost
2024-09-19,0.1268722354447624,0.0985097587108612,Hybrid GARCH+ML
2024-09-20,0.07332726041954471,0.10265548767558756,Historical Volatility
2024-09-20,0.07332726041954471,0.1284514210196235,GARCH
2024-09-20,0.07332726041954471,0.09469090267145924,Random Forest
2024-09-20,0.07332726041954471,0.09466030448675156,XGBoost
2024-09-20,0.07332726041954471,0.08994758129119873,Hybrid GARCH+ML
2024-09-23,0.11760489397293727,0.1015449795871139,Historical Volatility
2024-09-23,0.11760489397293727,0.1284514210196235,GARCH
2024-09-23,0.11760489397293727,0.09359643424822567,Random Forest
2024-09-23,0.11760489397293727,0.09381022304296494,XGBoost
2024-09-23,0.11760489397293727,0.08796324580907822,Hybrid GARCH+ML
2024-09-24,0.11766691642339826,0.10159528926181592,Historical Volatility
2024-09-24,0.11766691642339826,0.1284514210196235,GARCH
2024-09-24,0.11766691642339826,0.09411138064356002,Random Forest
2024-09-24,0.11766691642339826,0.09159240126609802,XGBoost
2024-09-24,0.11766691642339826,0.08691307157278061,Hybrid GARCH+ML
2024-09-25,0.19150813503831554,0.10160658487243528,Historical Volatility
2024-09-25,0.19150813503831554,0.1284514210196235,GARCH
2024-09-25,0.19150813503831554,0.09205743848192299,Random Forest
2024-09-25,0.19150813503831554,0.08663046360015869,XGBoost
2024-09-25,0.19150813503831554,0.08283118903636932,Hybrid GARCH+ML
2024-09-26,0.19437385769040771,0.10378879039570615,Historical Volatility
2024-09-26,0.19437385769040771,0.1284514210196235,GARCH
2024-09-26,0.19437385769040771,0.09305249138169999,Random Forest
2024-09-26,0.19437385769040771,0.07968184351921082,XGBoost
2024-09-26,0.19437385769040771,0.08329938352108002,Hybrid GARCH+ML
2024-09-27,0.2038918619957112,0.10439088599084609,Historical Volatility
2024-09-27,0.2038918619957112,0.1284514210196235,GARCH
2024-09-27,0.2038918619957112,0.09269984274287951,Random Forest
2024-09-27,0.2038918619957112,0.09116996079683304,XGBoost
2024-09-27,0.2038918619957112,0.08743581920862198,Hybrid GARCH+ML
2024-09-30,0.18789905353337424,0.11884348541319824,Historical Volatility
2024-09-30,0.18789905353337424,0.12160395199920396,GARCH
2024-09-30,0.18789905353337424,0.10647662764522973,Random Forest
2024-09-30,0.18789905353337424,0.10922983288764954,XGBoost
2024-09-30,0.18789905353337424,0.11047795414924622,Hybrid GARCH+ML
2024-10-01,0.18806872483700005,0.1189268219789117,Historical Volatility
2024-10-01,0.18806872483700005,0.12160395199920396,GARCH
2024-10-01,0.18806872483700005,0.10114362559688642,Random Forest
2024-10-01,0.18806872483700005,0.09861277043819427,XGBoost
2024-10-01,0.18806872483700005,0.10507789254188538,Hybrid GARCH+ML
2024-10-03,0.1107172322328719,0.14270016732538096,Historical Volatility
2024-10-03,0.1107172322328719,0.12160395199920396,GARCH
2024-10-03,0.1107172322328719,0.12803532161662987,Random Forest
2024-10-03,0.1107172322328719,0.12303374707698822,XGBoost
2024-10-03,0.1107172322328719,0.12955453991889954,Hybrid GARCH+ML
2024-10-04,0.08903573382385747,0.1464669880852682,Historical Volatility
2024-10-04,0.08903573382385747,0.12160395199920396,GARCH
2024-10-04,0.08903573382385747,0.1424027224770744,Random Forest
2024-10-04,0.08903573382385747,0.14663027226924896,XGBoost
2024-10-04,0.08903573382385747,0.15178056061267853,Hybrid GARCH+ML
2024-10-07,0.07866761062236358,0.14377011827107233,Historical Volatility
2024-10-07,0.07866761062236358,0.12160395199920396,GARCH
2024-10-07,0.07866761062236358,0.14903025710593915,Random Forest
2024-10-07,0.07866761062236358,0.15851207077503204,XGBoost
2024-10-07,0.07866761062236358,0.15955238044261932,Hybrid GARCH+ML
2024-10-08,0.052411186679187,0.14671669761526468,Historical Volatility
2024-10-08,0.052411186679187,0.12160395199920396,GARCH
2024-10-08,0.052411186679187,0.14283590971618965,Random Forest
2024-10-08,0.052411186679187,0.1474677473306656,XGBoost
2024-10-08,0.052411186679187,0.15559928119182587,Hybrid GARCH+ML
2024-10-09,0.05713861523232547,0.14600059063009438,Historical Volatility
2024-10-09,0.05713861523232547,0.12160395199920396,GARCH
2024-10-09,0.05713861523232547,0.14396330960738077,Random Forest
2024-10-09,0.05713861523232547,0.1472811996936798,XGBoost
2024-10-09,0.05713861523232547,0.15853029489517212,Hybrid GARCH+ML
2024-10-10,0.08510005994193699,0.1449106647689246,Historical Volatility
2024-10-10,0.08510005994193699,0.12160395199920396,GARCH
2024-10-10,0.08510005994193699,0.13964872003052137,Random Forest
2024-10-10,0.08510005994193699,0.14072564244270325,XGBoost
2024-10-10,0.08510005994193699,0.14534489810466766,Hybrid GARCH+ML
2024-10-11,0.08965035144071828,0.12728828471834167,Historical Volatility
2024-10-11,0.08965035144071828,0.12160395199920396,GARCH
2024-10-11,0.08965035144071828,0.12906553447404046,Random Forest
2024-10-11,0.08965035144071828,0.14015835523605347,XGBoost
2024-10-11,0.08965035144071828,0.14710062742233276,Hybrid GARCH+ML
2024-10-14,0.0794962981659574,0.1299290848929725,Historical Volatility
2024-10-14,0.0794962981659574,0.12160395199920396,GARCH
2024-10-14,0.0794962981659574,0.12421720825247284,Random Forest
2024-10-14,0.0794962981659574,0.12486295402050018,XGBoost
2024-10-14,0.0794962981659574,0.1239103227853775,Hybrid GARCH+ML
2024-10-15,0.11771042911523207,0.1300559444943732,Historical Volatility
2024-10-15,0.11771042911523207,0.12160395199920396,GARCH
2024-10-15,0.11771042911523207,0.13171920407774856,Random Forest
2024-10-15,0.11771042911523207,0.13623037934303284,XGBoost
2024-10-15,0.11771042911523207,0.1462474912405014,Hybrid GARCH+ML
2024-10-16,0.1156383844553544,0.1301871521727834,Historical Volatility
2024-10-16,0.1156383844553544,0.12160395199920396,GARCH
2024-10-16,0.1156383844553544,0.13735677476059938,Random Forest
2024-10-16,0.1156383844553544,0.13689690828323364,XGBoost
2024-10-16,0.1156383844553544,0.1507081389427185,Hybrid GARCH+ML
2024-10-17,0.09738186931551446,0.13326493931237135,Historical Volatility
2024-10-17,0.09738186931551446,0.12160395199920396,GARCH
2024-10-17,0.09738186931551446,0.15045129182323091,Random Forest
2024-10-17,0.09738186931551446,0.15473566949367523,XGBoost
2024-10-17,0.09738186931551446,0.17506444454193115,Hybrid GARCH+ML
2024-10-18,0.11258614487680109,0.13434389930464516,Historical Volatility
2024-10-18,0.11258614487680109,0.12160395199920396,GARCH
2024-10-18,0.11258614487680109,0.14424666122590135,Random Forest
2024-10-18,0.11258614487680109,0.14604055881500244,XGBoost
2024-10-18,0.11258614487680109,0.16161245107650757,Hybrid GARCH+ML
2024-10-21,0.11994758175263193,0.12078323533123617,Historical Volatility
2024-10-21,0.11994758175263193,0.12160395199920396,GARCH
2024-10-21,0.11994758175263193,0.1431597073586334,Random Forest
2024-10-21,0.11994758175263193,0.14499370753765106,XGBoost
2024-10-21,0.11994758175263193,0.1632515788078308,Hybrid GARCH+ML
2024-10-22,0.0885014383107541,0.12268823482453838,Historical Volatility
